IP Address,Timestamp,Method,Path,Status Code,Response Size,Referrer URL,User Agent
117.26.221.33,2025-02-13 10:25:44,PUT,/products,500,3890,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
65.103.118.204,2025-02-13 11:30:40,GET,/about,200,3612,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
168.53.166.118,2025-02-13 10:23:08,DELETE,/login,200,2401,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
188.70.131.87,2025-02-13 11:29:12,POST,/index.html,404,3021,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
112.250.58.9,2025-02-13 10:15:32,POST,/products,200,2433,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
61.178.183.9,2025-02-13 11:58:46,DELETE,/products,404,2763,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
227.13.121.250,2025-02-13 11:45:26,GET,/index.html,302,4817,http://example.com,Mozilla/5.0 (Linux; Android 10)
143.20.96.172,2025-02-13 10:13:27,GET,/contact,500,939,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
17.152.187.117,2025-02-13 10:04:37,GET,/products,302,1332,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
15.180.201.65,2025-02-13 11:41:12,PUT,/login,200,3944,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
14.153.140.121,2025-02-13 10:30:30,DELETE,/login,302,1539,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
195.45.68.134,2025-02-13 11:24:42,DELETE,/login,200,870,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
194.23.153.72,2025-02-13 10:28:54,GET,/about,302,4085,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
85.50.141.44,2025-02-13 10:11:36,PUT,/contact,500,2501,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
185.21.153.219,2025-02-13 10:09:29,DELETE,/contact,500,4119,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
50.32.34.136,2025-02-13 11:11:41,DELETE,/about,500,2780,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
203.181.152.111,2025-02-13 11:09:14,GET,/contact,200,889,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
186.204.167.213,2025-02-13 11:32:48,POST,/products,404,2521,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
177.37.34.85,2025-02-13 11:59:34,DELETE,/login,200,549,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
129.169.157.183,2025-02-13 10:41:03,DELETE,/about,200,259,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
14.6.129.70,2025-02-13 10:33:28,POST,/index.html,404,4355,http://example.com,Mozilla/5.0 (Linux; Android 10)
182.81.161.138,2025-02-13 11:08:26,PUT,/about,500,3725,http://example.com,Mozilla/5.0 (Linux; Android 10)
15.39.247.32,2025-02-13 11:10:07,DELETE,/index.html,500,2289,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
156.147.108.112,2025-02-13 11:47:19,POST,/contact,302,2080,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
186.84.9.36,2025-02-13 10:38:22,GET,/login,200,592,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
55.112.179.182,2025-02-13 11:47:25,POST,/contact,500,4802,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
57.81.234.192,2025-02-13 10:07:07,POST,/products,302,4858,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
125.122.216.84,2025-02-13 10:48:54,PUT,/login,500,4846,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
8.88.49.152,2025-02-13 11:29:28,POST,/products,404,2393,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
147.130.24.194,2025-02-13 11:35:08,DELETE,/about,500,1386,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
56.56.233.146,2025-02-13 11:53:01,GET,/index.html,404,1270,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
175.46.243.136,2025-02-13 10:36:32,DELETE,/contact,302,968,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
119.161.21.164,2025-02-13 10:52:06,DELETE,/index.html,302,3393,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
14.231.216.45,2025-02-13 11:06:21,POST,/login,302,1571,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
122.153.164.2,2025-02-13 11:51:23,DELETE,/index.html,404,273,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
238.87.93.235,2025-02-13 11:59:27,PUT,/about,404,2960,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
35.69.247.136,2025-02-13 10:21:17,PUT,/index.html,404,2863,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
105.64.141.67,2025-02-13 11:55:54,PUT,/products,302,3175,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
212.138.21.100,2025-02-13 10:36:49,GET,/contact,404,4150,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
62.80.19.81,2025-02-13 11:18:32,POST,/index.html,200,2537,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
123.199.74.87,2025-02-13 11:56:13,DELETE,/index.html,404,3666,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
62.197.159.219,2025-02-13 11:09:26,PUT,/contact,500,4721,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
79.130.60.252,2025-02-13 11:10:58,POST,/contact,200,313,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
232.9.219.69,2025-02-13 11:14:12,GET,/login,500,4939,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
82.165.77.74,2025-02-13 11:29:23,PUT,/contact,500,1461,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
170.159.81.96,2025-02-13 11:51:54,DELETE,/contact,404,3110,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
127.190.58.193,2025-02-13 11:07:01,GET,/about,404,441,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
110.255.181.149,2025-02-13 11:59:14,POST,/contact,200,2452,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
6.207.243.241,2025-02-13 11:33:57,DELETE,/products,500,2225,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
139.76.180.106,2025-02-13 10:08:31,DELETE,/about,404,3710,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
77.98.102.110,2025-02-13 10:45:08,PUT,/contact,302,4898,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
240.197.246.16,2025-02-13 11:34:26,PUT,/index.html,302,3872,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
21.254.218.198,2025-02-13 10:05:08,DELETE,/contact,500,1418,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
66.51.186.24,2025-02-13 10:50:19,POST,/products,200,3415,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
77.41.190.65,2025-02-13 10:07:23,POST,/login,500,375,http://example.com,Mozilla/5.0 (Linux; Android 10)
249.2.82.201,2025-02-13 11:34:58,POST,/index.html,404,507,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
144.154.166.90,2025-02-13 10:18:08,POST,/login,404,4140,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
164.45.84.1,2025-02-13 10:26:37,POST,/products,404,1648,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
129.20.124.12,2025-02-13 10:19:41,POST,/contact,404,1659,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
251.3.61.23,2025-02-13 11:01:51,POST,/contact,404,1782,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
234.20.33.128,2025-02-13 11:33:03,POST,/index.html,302,3068,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
192.101.25.188,2025-02-13 11:12:24,POST,/about,404,3739,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
156.40.133.94,2025-02-13 11:06:45,GET,/products,302,4124,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
120.10.114.61,2025-02-13 11:39:42,DELETE,/contact,302,3059,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
91.216.182.92,2025-02-13 10:20:22,GET,/about,404,3764,http://example.com,Mozilla/5.0 (Linux; Android 10)
46.166.247.105,2025-02-13 10:35:11,DELETE,/products,500,2813,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
100.39.167.126,2025-02-13 11:17:17,DELETE,/index.html,404,575,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
69.235.110.103,2025-02-13 11:18:03,GET,/about,302,2999,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
62.203.0.107,2025-02-13 11:20:19,POST,/index.html,200,3217,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
118.215.162.121,2025-02-13 10:13:38,PUT,/products,302,1824,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
40.220.51.104,2025-02-13 10:35:36,POST,/index.html,404,3252,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
134.162.103.99,2025-02-13 11:52:28,PUT,/login,200,1174,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
58.189.34.16,2025-02-13 10:40:33,DELETE,/about,200,650,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
43.116.224.224,2025-02-13 10:15:15,GET,/index.html,404,3118,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
184.44.79.217,2025-02-13 10:50:37,POST,/contact,302,665,http://example.com,Mozilla/5.0 (Linux; Android 10)
150.214.105.25,2025-02-13 11:24:41,DELETE,/contact,200,4537,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
92.22.123.193,2025-02-13 10:58:06,DELETE,/products,302,1250,http://example.com,Mozilla/5.0 (Linux; Android 10)
209.196.249.186,2025-02-13 10:10:15,PUT,/contact,404,4611,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
64.254.141.22,2025-02-13 11:40:57,DELETE,/about,200,3617,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
148.83.56.195,2025-02-13 10:21:05,DELETE,/contact,404,3080,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
68.241.64.191,2025-02-13 10:59:41,PUT,/products,302,378,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
193.132.195.177,2025-02-13 11:42:55,PUT,/about,500,4221,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
62.0.61.76,2025-02-13 10:06:57,DELETE,/contact,200,2404,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
215.147.215.0,2025-02-13 11:12:06,GET,/index.html,404,4928,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
171.165.201.51,2025-02-13 11:53:48,PUT,/login,500,614,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
22.79.156.160,2025-02-13 10:45:19,PUT,/index.html,404,4975,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
124.68.165.161,2025-02-13 10:29:22,PUT,/login,200,3402,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
28.200.158.128,2025-02-13 10:45:17,DELETE,/login,302,798,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
153.195.242.219,2025-02-13 11:21:13,GET,/login,404,1175,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
221.203.113.15,2025-02-13 10:32:25,PUT,/products,404,3420,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
80.123.6.246,2025-02-13 11:23:56,GET,/products,500,4955,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
7.62.74.217,2025-02-13 11:31:44,GET,/login,500,2612,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
2.209.251.96,2025-02-13 10:38:57,DELETE,/products,500,3255,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
232.190.80.174,2025-02-13 11:25:54,DELETE,/login,200,2135,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
107.213.148.8,2025-02-13 11:20:31,DELETE,/index.html,200,3566,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
210.72.24.182,2025-02-13 10:05:15,PUT,/index.html,302,3694,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
233.173.208.254,2025-02-13 10:57:21,PUT,/products,200,2178,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
165.144.135.93,2025-02-13 11:18:42,POST,/products,500,4680,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
55.126.145.180,2025-02-13 11:45:57,DELETE,/contact,302,1297,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
14.97.7.115,2025-02-13 10:08:37,GET,/products,500,2937,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
184.21.129.220,2025-02-13 10:40:29,DELETE,/contact,500,1774,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
59.97.107.30,2025-02-13 11:55:14,GET,/about,302,1135,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
27.0.191.93,2025-02-13 10:44:59,POST,/login,500,2392,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
41.235.254.138,2025-02-13 11:34:34,POST,/about,500,1352,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
220.10.240.41,2025-02-13 10:40:05,POST,/contact,404,2327,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
79.157.103.252,2025-02-13 10:02:10,DELETE,/products,302,299,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
42.17.165.160,2025-02-13 10:48:29,DELETE,/index.html,302,2227,http://example.com,Mozilla/5.0 (Linux; Android 10)
133.104.209.188,2025-02-13 10:29:33,PUT,/login,302,4151,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
46.95.201.55,2025-02-13 11:03:12,POST,/contact,200,2429,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
50.245.103.92,2025-02-13 11:35:32,DELETE,/products,302,1906,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
155.133.48.31,2025-02-13 11:58:27,POST,/about,500,1458,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
187.133.239.166,2025-02-13 11:58:29,PUT,/contact,302,4996,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
86.201.155.98,2025-02-13 11:44:08,POST,/contact,404,4169,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
167.220.223.155,2025-02-13 11:19:43,GET,/about,302,4775,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
38.157.53.224,2025-02-13 11:54:35,PUT,/index.html,200,384,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
50.21.198.177,2025-02-13 10:50:55,GET,/index.html,302,4319,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
251.250.4.64,2025-02-13 11:16:07,PUT,/products,404,3999,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
121.109.40.182,2025-02-13 10:01:08,POST,/contact,302,2052,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
47.18.21.173,2025-02-13 10:40:53,POST,/products,302,1133,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
64.27.86.136,2025-02-13 11:37:35,GET,/index.html,404,1087,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
222.231.20.172,2025-02-13 11:37:36,PUT,/index.html,404,4568,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
147.236.231.31,2025-02-13 10:09:54,PUT,/index.html,500,533,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
114.206.83.39,2025-02-13 11:32:05,PUT,/login,200,3730,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
160.146.10.69,2025-02-13 11:23:21,DELETE,/about,302,4377,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
119.110.14.231,2025-02-13 10:12:26,GET,/login,302,2120,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
36.82.231.123,2025-02-13 11:47:33,POST,/login,200,1385,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
132.77.9.164,2025-02-13 10:38:37,PUT,/index.html,302,3061,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
241.167.68.175,2025-02-13 11:31:37,DELETE,/products,404,2664,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
132.113.119.108,2025-02-13 11:09:06,PUT,/contact,500,1294,http://example.com,Mozilla/5.0 (Linux; Android 10)
166.68.147.202,2025-02-13 11:58:25,PUT,/index.html,302,3349,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
26.202.77.190,2025-02-13 11:16:12,DELETE,/contact,302,4218,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
58.3.155.127,2025-02-13 11:29:16,GET,/login,302,1336,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
253.50.84.59,2025-02-13 11:30:15,GET,/index.html,200,3282,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
41.44.93.146,2025-02-13 10:35:14,DELETE,/contact,404,2536,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
167.48.111.161,2025-02-13 11:12:53,DELETE,/products,302,2878,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
27.248.140.135,2025-02-13 11:26:18,PUT,/contact,200,832,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
233.217.57.161,2025-02-13 10:19:22,PUT,/login,200,1882,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
117.128.221.72,2025-02-13 11:16:38,DELETE,/login,200,3945,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
38.107.21.214,2025-02-13 11:10:34,GET,/products,404,4395,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X)
25.65.60.184,2025-02-13 10:29:07,PUT,/contact,200,2472,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
251.164.124.9,2025-02-13 10:36:14,PUT,/about,404,3083,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
66.63.119.228,2025-02-13 11:09:32,DELETE,/index.html,500,3194,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
22.95.210.69,2025-02-13 11:57:18,PUT,/login,302,4520,http://example.com/login,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
211.142.6.79,2025-02-13 10:44:12,POST,/contact,404,4104,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
87.151.2.209,2025-02-13 10:49:12,PUT,/products,404,3323,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
64.205.210.58,2025-02-13 11:44:15,PUT,/products,404,2605,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
95.171.6.204,2025-02-13 11:59:40,DELETE,/about,404,974,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
148.152.85.247,2025-02-13 10:24:47,POST,/login,500,2929,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
194.97.18.179,2025-02-13 10:13:13,POST,/login,200,936,http://example.com,Mozilla/5.0 (Linux; Android 10)
144.162.200.18,2025-02-13 10:01:56,PUT,/contact,200,2995,http://example.com,Mozilla/5.0 (Macintosh; Intel Mac OS X)
134.246.161.173,2025-02-13 10:59:04,GET,/login,302,2347,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
75.164.104.120,2025-02-13 10:42:27,GET,/products,200,3605,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
117.28.50.151,2025-02-13 11:26:23,GET,/about,200,3696,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
232.84.123.92,2025-02-13 11:00:40,DELETE,/index.html,302,902,http://example.com,Mozilla/5.0 (Linux; Android 10)
248.226.240.83,2025-02-13 11:13:03,PUT,/contact,500,1410,http://example.com/products,Mozilla/5.0 (Linux; Android 10)
212.20.99.146,2025-02-13 10:14:18,GET,/contact,404,1005,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
167.14.126.239,2025-02-13 10:02:22,PUT,/contact,500,3799,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
134.23.58.14,2025-02-13 11:45:11,GET,/contact,200,652,http://example.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
192.225.155.207,2025-02-13 10:17:16,GET,/contact,200,1783,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
76.250.173.247,2025-02-13 11:03:50,POST,/index.html,302,2097,http://example.com/products,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
242.210.75.147,2025-02-13 10:47:30,POST,/about,404,665,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
39.98.241.239,2025-02-13 10:35:11,POST,/products,500,1244,http://example.com/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
220.121.209.113,2025-02-13 10:13:07,GET,/index.html,404,2391,http://example.com/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
71.31.167.52,2025-02-13 11:48:19,PUT,/login,302,1761,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
60.97.244.138,2025-02-13 10:07:15,POST,/index.html,302,3935,http://example.com,Mozilla/5.0 (Linux; Android 10)
191.228.250.224,2025-02-13 11:03:26,PUT,/login,302,4217,http://example.com/products,Mozilla/5.0 (Macintosh; Intel Mac OS X)
223.219.226.39,2025-02-13 10:07:33,POST,/index.html,302,4168,http://example.com/login,Mozilla/5.0 (Linux; Android 10)
212.109.203.240,2025-02-13 11:43:43,DELETE,/index.html,200,891,http://example.com,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0)
